Freq.	V(v1)	V(v2)
5.00000000000000e+03	1.37652049624952e+02	-4.21753198964225e+00	-9.52664212952362e+01	3.76836375083323e+01
5.05789727129949e+03	1.37650800553932e+02	-4.26651990241601e+00	-9.74004348535489e+01	3.86605212668500e+01
5.11646496140377e+03	1.37649521308724e+02	-4.31608026268330e+00	-9.95802104844208e+01	3.96671931320885e+01
5.17571083339672e+03	1.37648211136369e+02	-4.36621987448827e+00	-1.01806632520945e+02	4.07046172969868e+01
5.23564274025450e+03	1.37646869264251e+02	-4.41694562657571e+00	-1.04080597573019e+02	4.17737894521901e+01
5.29626862588645e+03	1.37645494899161e+02	-4.46826449337502e+00	-1.06403014642054e+02	4.28757364509134e+01
5.35759652618803e+03	1.37644087227134e+02	-4.52018353623447e+00	-1.08774804881933e+02	4.40115187442896e+01
5.41963457010602e+03	1.37642645412510e+02	-4.57270990442968e+00	-1.11196901456672e+02	4.51822309757448e+01
5.48239098071593e+03	1.37641168597370e+02	-4.62585083693853e+00	-1.13670249443897e+02	4.63890029946276e+01
5.54587407631201e+03	1.37639655901067e+02	-4.67961366287003e+00	-1.16195805703783e+02	4.76330004919676e+01
5.61009227150982e+03	1.37638106419345e+02	-4.73400580310247e+00	-1.18774538668920e+02	4.89154271932812e+01
5.67505407836158e+03	1.37636519223790e+02	-4.78903477214368e+00	-1.21407428191857e+02	5.02375247903475e+01
5.74076810748442e+03	1.37634893361096e+02	-4.84470817798872e+00	-1.24095465187887e+02	5.16005747469155e+01
5.80724306920172e+03	1.37633227852447e+02	-4.90103372488570e+00	-1.26839651475651e+02	5.30058997657711e+01
5.87448777469765e+03	1.37631521692548e+02	-4.95801921377614e+00	-1.29640999615385e+02	5.44548639198868e+01
5.94251113718510e+03	1.37629773848829e+02	-5.01567254438463e+00	-1.32500532454578e+02	5.59488745582501e+01
6.01132217308707e+03	1.37627983261058e+02	-5.07400171575313e+00	-1.35419282530142e+02	5.74893849470983e+01
6.08093000323185e+03	1.37626148840104e+02	-5.13301482819554e+00	-1.38398292356595e+02	5.90778926542371e+01
6.15134385406191e+03	1.37624269467238e+02	-5.19272008441899e+00	-1.41438613324076e+02	6.07159438357229e+01
6.22257305885693e+03	1.37622343993081e+02	-5.25312579141609e+00	-1.44541305730473e+02	6.24051320883701e+01
6.29462705897084e+03	1.37620371237133e+02	-5.31424036185856e+00	-1.47707438135293e+02	6.41471018742367e+01
6.36751540508332e+03	1.37618349986363e+02	-5.37607231438109e+00	-1.50938086676420e+02	6.59435492358246e+01
6.44124775846568e+03	1.37616278994404e+02	-5.43863027721521e+00	-1.54234334869820e+02	6.77962229668027e+01
6.51583389226151e+03	1.37614156980802e+02	-5.50192298780927e+00	-1.57597272675259e+02	6.97069261408310e+01
6.59128369278205e+03	1.37611982629352e+02	-5.56595929579372e+00	-1.61027996011032e+02	7.16775183117301e+01
6.66760716081663e+03	1.37609754587907e+02	-5.63074816352539e+00	-1.64527606057746e+02	7.37099167238569e+01
6.74481441295828e+03	1.37607471466591e+02	-5.69629866825393e+00	-1.68097208323667e+02	7.58060979007480e+01
6.82291568294463e+03	1.37605131836828e+02	-5.76262000363691e+00	-1.71737912149233e+02	7.79680990839293e+01
6.90192132301444e+03	1.37602734230327e+02	-5.82972148123405e+00	-1.75450829651716e+02	8.01980201988429e+01
6.98184180527970e+03	1.37600277137645e+02	-5.89761253286939e+00	-1.79237074781800e+02	8.24980258233340e+01
7.06268772311379e+03	1.37597759007149e+02	-5.96630271133442e+00	-1.83097762531031e+02	8.48703466569946e+01
7.14446979255553e+03	1.37595178243511e+02	-6.03580169277144e+00	-1.87034007660968e+02	8.73172809015630e+01
7.22719885372965e+03	1.37592533206686e+02	-6.10611927815739e+00	-1.91046923825200e+02	8.98411970130649e+01
7.31088587228361e+03	1.37589822209995e+02	-6.17726539573853e+00	-1.95137622191638e+02	9.24445351963888e+01
7.39554194084105e+03	1.37587043519333e+02	-6.24925010165189e+00	-1.99307210332404e+02	9.51298089510454e+01
7.48117828047218e+03	1.37584195351015e+02	-6.32208358316750e+00	-2.03556790911870e+02	9.78996070918690e+01
7.56780624218106e+03	1.37581275870947e+02	-6.39577615934876e+00	-2.07887460176002e+02	1.00756596282950e+02
7.65543730841017e+03	1.37578283192555e+02	-6.47033828345536e+00	-2.12300306645455e+02	1.03703522910608e+02
7.74408309456243e+03	1.37575215375179e+02	-6.54578054542561e+00	-2.16796409335293e+02	1.06743213930423e+02
7.83375535054077e+03	1.37572070422658e+02	-6.62211367276000e+00	-2.21376836324579e+02	1.09878580690762e+02
7.92446596230559e+03	1.37568846281410e+02	-6.69934853321539e+00	-2.26042642733322e+02	1.13112620203628e+02
8.01622695345023e+03	1.37565540838577e+02	-6.77749613654249e+00	-2.30794869176595e+02	1.16448417197487e+02
8.10905048679467e+03	1.37562151920310e+02	-6.85656763673903e+00	-2.35634539718634e+02	1.19889146301253e+02
8.20294886599772e+03	1.37558677289654e+02	-6.93657433428818e+00	-2.40562659595479e+02	1.23438074372551e+02
8.29793453718783e+03	1.37555114644793e+02	-7.01752767728432e+00	-2.45580213501812e+02	1.27098562329018e+02
8.39402009061283e+03	1.37551461616723e+02	-7.09943926506479e+00	-2.50688162977580e+02	1.30874068068992e+02
8.49121826230875e+03	1.37547715767283e+02	-7.18232084891642e+00	-2.55887444002964e+02	1.34768148649491e+02
8.58954193578797e+03	1.37543874587142e+02	-7.26618433490662e+00	-2.61178964853595e+02	1.38784461253870e+02
