time	V(v0)	V(v3)
7.978974037039904e-06	1.607444e-08	-2.001430e-02
8.076630287039903e-06	5.294596e-08	-2.122992e-02
8.174286537039902e-06	8.915831e-08	-2.244407e-02
8.271942787039902e-06	1.240717e-07	-2.365255e-02
8.369599037039901e-06	1.570722e-07	-2.484966e-02
8.467255287039901e-06	1.875843e-07	-2.602824e-02
8.564911537039900e-06	2.150837e-07	-2.717964e-02
8.662567787039899e-06	2.391083e-07	-2.829383e-02
8.760224037039899e-06	2.592678e-07	-2.935950e-02
8.870087318289899e-06	2.769443e-07	-3.050297e-02
8.905846699175431e-06	2.815099e-07	-3.085415e-02
8.941606080060964e-06	2.854650e-07	-3.119155e-02
8.977365460946496e-06	2.888096e-07	-3.151519e-02
9.013124841832029e-06	2.915439e-07	-3.182506e-02
9.048884222717561e-06	2.936676e-07	-3.212116e-02
9.084643603603093e-06	2.951810e-07	-3.240349e-02
9.120402984488626e-06	2.960839e-07	-3.267206e-02
9.218059234488625e-06	2.954399e-07	-3.331731e-02
9.315715484488625e-06	2.903643e-07	-3.384811e-02
9.413371734488624e-06	2.810611e-07	-3.423627e-02
9.511027984488624e-06	2.678180e-07	-3.446788e-02
9.608684234488623e-06	2.509984e-07	-3.452991e-02
9.706340484488622e-06	2.310332e-07	-3.441058e-02
9.803996734488622e-06	2.084102e-07	-3.409956e-02
9.901652984488621e-06	1.836626e-07	-3.358831e-02
9.999309234488621e-06	1.573562e-07	-3.287024e-02
1.009696548448862e-05	1.300767e-07	-3.194105e-02
1.019462173448862e-05	1.024156e-07	-3.079874e-02
1.029227798448862e-05	7.495713e-08	-2.944390e-02
1.038993423448862e-05	4.826455e-08	-2.787969e-02
1.048759048448862e-05	2.286759e-08	-2.611194e-02
1.058524673448862e-05	-7.494458e-10	-2.414911e-02
1.068290298448862e-05	-2.215832e-08	-2.200227e-02
1.078055923448862e-05	-4.099616e-08	-1.968497e-02
1.087821548448862e-05	-5.697312e-08	-1.722054e-02
1.095337209158517e-05	-6.718535e-08	-1.522546e-02
1.104264308325336e-05	-7.686437e-08	-1.275669e-02
1.112941649101780e-05	-8.367775e-08	-1.027729e-02
1.122707274101780e-05	-8.829666e-08	-7.410534e-03
1.132472899101779e-05	-8.977449e-08	-4.487917e-03
1.137904755529653e-05	-8.920806e-08	-2.839677e-03
1.143336611957527e-05	-8.787695e-08	-1.193567e-03
1.148768468385401e-05	-8.578116e-08	4.504136e-04
1.154200324813275e-05	-8.292069e-08	2.092265e-03
1.159632181241149e-05	-7.929555e-08	3.731986e-03
1.165064037669023e-05	-7.490572e-08	5.369578e-03
1.170495894096896e-05	-6.975122e-08	7.005040e-03
1.174949553154514e-05	-6.517433e-08	8.326748e-03
1.179403212212131e-05	-6.040994e-08	9.625974e-03
1.183856871269748e-05	-5.545807e-08	1.090272e-02
1.188310530327365e-05	-5.031870e-08	1.215698e-02
1.192764189384982e-05	-4.499184e-08	1.338876e-02
1.197217848442599e-05	-3.947749e-08	1.459806e-02
1.201671507500217e-05	-3.377564e-08	1.578487e-02
1.211437132500217e-05	-2.146350e-08	1.827276e-02
1.221202757500216e-05	-9.514205e-09	2.062627e-02
1.230968382500216e-05	1.587791e-09	2.281307e-02
1.240734007500216e-05	1.138452e-08	2.481901e-02
1.250499632500216e-05	1.945650e-08	2.663227e-02
1.260265257500216e-05	2.543372e-08	2.824346e-02
1.270030882500216e-05	2.900548e-08	2.964569e-02
1.279796507500216e-05	2.992871e-08	3.083452e-02
1.289562132500216e-05	2.803467e-08	3.182636e-02
1.295984507070433e-05	2.520681e-08	3.235357e-02
1.304505843063074e-05	1.950310e-08	3.289293e-02
1.313334584625227e-05	1.127664e-08	3.328882e-02
1.323100209625227e-05	-4.654461e-10	3.353322e-02
1.332865834625227e-05	-1.479535e-08	3.358437e-02
1.342631459625227e-05	-3.144400e-08	3.344589e-02
1.352397084625226e-05	-5.007146e-08	3.312764e-02
1.362162709625226e-05	-7.027455e-08	3.264046e-02
1.371928334625226e-05	-9.159610e-08	3.199589e-02
1.381693959625226e-05	-1.135356e-07	3.120593e-02
1.391459584625226e-05	-1.355611e-07	3.028272e-02
1.401225209625226e-05	-1.571214e-07	2.923837e-02
1.410990834625226e-05	-1.776597e-07	2.808467e-02
1.420756459625226e-05	-1.966266e-07	2.683293e-02
1.430522084625226e-05	-2.134937e-07	2.549379e-02
1.440287709625226e-05	-2.277662e-07	2.407708e-02
1.450053334625226e-05	-2.389956e-07	2.259170e-02
1.469584584625226e-05	-2.508262e-07	1.944574e-02
1.489115834625226e-05	-2.467104e-07	1.611033e-02
1.504443961800330e-05	-2.316316e-07	1.337856e-02
1.513233918234486e-05	-2.183050e-07	1.177356e-02
1.522999543234486e-05	-1.996498e-07	9.960707e-03
1.532765168234486e-05	-1.771715e-07	8.119174e-03
1.542530793234486e-05	-1.511888e-07	6.250061e-03
1.552296418234486e-05	-1.220985e-07	4.355287e-03
1.565724152609486e-05	-7.789424e-08	1.716726e-03
1.569151930581026e-05	-6.594637e-08	1.035029e-03
1.572579708552566e-05	-5.384246e-08	3.512128e-04
1.576007486524106e-05	-4.158249e-08	-3.347216e-04
1.579435264495647e-05	-2.916647e-08	-1.022775e-03
1.582863042467187e-05	-1.659439e-08	-1.712946e-03
1.586290820438727e-05	-3.866253e-09	-2.405236e-03
1.589718598410267e-05	9.017935e-09	-3.099644e-03
1.600704926535267e-05	5.016368e-08	-5.325951e-03
1.604538697287220e-05	6.452510e-08	-6.106370e-03
1.608372468039173e-05	7.871110e-08	-6.885732e-03
1.612206238791126e-05	9.272168e-08	-7.664038e-03
1.616040009543080e-05	1.065568e-07	-8.441288e-03
1.619873780295033e-05	1.202166e-07	-9.217482e-03
1.623707551046986e-05	1.337009e-07	-9.992619e-03
1.627541321798939e-05	1.470098e-07	-1.076670e-02
1.637306946798939e-05	1.790457e-07	-1.272106e-02
1.647072571798939e-05	2.084452e-07	-1.464663e-02
1.656838196798939e-05	2.346923e-07	-1.653188e-02
1.666603821798939e-05	2.573341e-07	-1.836414e-02
1.670774103345395e-05	2.658591e-07	-1.913985e-02
1.674944384891852e-05	2.735818e-07	-1.989690e-02
1.679114666438308e-05	2.805020e-07	-2.063528e-02
1.683284947984764e-05	2.866198e-07	-2.135500e-02
1.687455229531221e-05	2.919352e-07	-2.205606e-02
1.691625511077677e-05	2.964482e-07	-2.273845e-02
1.695795792624134e-05	3.001588e-07	-2.340219e-02
1.704435454357669e-05	3.050941e-07	-2.470651e-02
1.713220078401316e-05	3.063829e-07	-2.593743e-02
1.722985703401316e-05	3.034485e-07	-2.717188e-02
1.732751328401315e-05	2.960507e-07	-2.825382e-02
1.742516953401315e-05	2.844153e-07	-2.916488e-02
1.752282578401315e-05	2.688505e-07	-2.989093e-02
1.762048203401315e-05	2.497403e-07	-3.041897e-02
1.771813828401315e-05	2.275344e-07	-3.073746e-02
1.781579453401315e-05	2.027385e-07	-3.083661e-02
1.791345078401315e-05	1.759020e-07	-3.070856e-02
1.801110703401315e-05	1.476054e-07	-3.034769e-02
1.810876328401315e-05	1.184471e-07	-2.975072e-02
1.820641953401315e-05	8.902973e-08	-2.891697e-02
1.830407578401315e-05	5.994627e-08	-2.784839e-02
1.840173203401315e-05	3.176706e-08	-2.654963e-02
1.849938828401315e-05	5.026922e-09	-2.502813e-02
1.859704453401315e-05	-1.978661e-08	-2.329401e-02
1.869470078401315e-05	-4.224385e-08	-2.136005e-02
1.879235703401315e-05	-6.198211e-08	-1.924154e-02
1.889001328401314e-05	-7.871321e-08	-1.696683e-02
1.904428080265507e-05	-9.853978e-08	-1.305903e-02
1.913208082252570e-05	-1.060816e-07	-1.070396e-02
1.922973707252570e-05	-1.112749e-07	-8.000488e-03
1.932739332252570e-05	-1.131896e-07	-5.233860e-03
1.938276092855248e-05	-1.127732e-07	-3.637579e-03
1.943812853457927e-05	-1.115258e-07	-2.043034e-03
1.949349614060605e-05	-1.094472e-07	-4.502263e-04
1.954886374663284e-05	-1.065375e-07	1.140845e-03
1.960423135265963e-05	-1.027967e-07	2.730180e-03
1.965959895868641e-05	-9.822483e-08	4.317778e-03
1.971496656471320e-05	-9.282184e-08	5.903639e-03
1.977596084920678e-05	-8.630076e-08	7.616218e-03
1.983695513370036e-05	-7.944210e-08	9.284615e-03
1.989794941819394e-05	-7.224585e-08	1.090883e-02
1.995894370268752e-05	-6.471203e-08	1.248886e-02
2.001993798718110e-05	-5.684062e-08	1.402471e-02
2.008093227167468e-05	-4.863163e-08	1.551638e-02
2.014192655616827e-05	-4.008506e-08	1.696387e-02
2.023958280616827e-05	-2.749492e-08	1.913532e-02
2.033723905616826e-05	-1.575370e-08	2.113424e-02
2.043489530616826e-05	-5.315607e-09	2.294681e-02
2.053255155616826e-05	3.406054e-09	2.456174e-02
2.063020780616826e-05	1.004965e-08	2.597028e-02
2.072786405616826e-05	1.431466e-08	2.716631e-02
2.082552030616826e-05	1.596964e-08	2.814629e-02
2.092317655616826e-05	1.485846e-08	2.892865e-02
2.105461876633220e-05	8.873572e-09	2.961258e-02
2.114889466367876e-05	1.432325e-09	2.985481e-02
2.124655091367876e-05	-8.931908e-09	2.991897e-02
2.134420716367876e-05	-2.180697e-08	2.978890e-02
2.144186341367876e-05	-3.692342e-08	2.947243e-02
2.153951966367876e-05	-5.394225e-08	2.898049e-02
2.163717591367875e-05	-7.246265e-08	2.832497e-02
2.173483216367875e-05	-9.203150e-08	2.751850e-02
2.183248841367875e-05	-1.121541e-07	2.657413e-02
2.193014466367875e-05	-1.323060e-07	2.550508e-02
2.202780091367875e-05	-1.519457e-07	2.432448e-02
2.212545716367875e-05	-1.705275e-07	2.304515e-02
2.222311341367875e-05	-1.875155e-07	2.167936e-02
2.232076966367875e-05	-2.023959e-07	2.023870e-02
2.241842591367875e-05	-2.146906e-07	1.873387e-02
2.251608216367875e-05	-2.239686e-07	1.717464e-02
2.271139466367875e-05	-2.320525e-07	1.392681e-02
2.290670716367875e-05	-2.245316e-07	1.055406e-02
2.304863730145460e-05	-2.087603e-07	8.045430e-03
2.313916729915824e-05	-1.942143e-07	6.426944e-03
2.323682354915824e-05	-1.747673e-07	4.668932e-03
2.333447979915824e-05	-1.516612e-07	2.900339e-03
2.339254494110857e-05	-1.361742e-07	1.844572e-03
2.345061008305891e-05	-1.198023e-07	7.868604e-04
2.350867522500924e-05	-1.025454e-07	-2.727969e-04
2.356674036695957e-05	-8.440352e-08	-1.334400e-03
2.362480550890991e-05	-6.537669e-08	-2.397948e-03
2.368287065086024e-05	-4.546490e-08	-3.463442e-03
2.374093579281058e-05	-2.466815e-08	-4.530881e-03
2.378657592081002e-05	-8.185563e-09	-5.369218e-03
2.383221604880946e-05	8.358792e-09	-6.205704e-03
2.387785617680890e-05	2.496492e-08	-7.040337e-03
2.392349630480834e-05	4.163282e-08	-7.873118e-03
2.396913643280779e-05	5.836249e-08	-8.704047e-03
2.401477656080723e-05	7.515393e-08	-9.533124e-03
2.406041668880667e-05	9.200715e-08	-1.036035e-02
2.415807293880667e-05	1.269406e-07	-1.211556e-02
2.425572918880667e-05	1.604103e-07	-1.384741e-02
2.435338543880667e-05	1.918076e-07	-1.554798e-02
2.445104168880667e-05	2.205619e-07	-1.720822e-02
2.454869793880667e-05	2.461532e-07	-1.881799e-02
2.465856122005666e-05	2.705950e-07	-2.057260e-02
2.470019521224227e-05	2.785724e-07	-2.121125e-02
2.474182920442788e-05	2.857464e-07	-2.183150e-02
2.478346319661349e-05	2.921170e-07	-2.243335e-02
2.482509718879909e-05	2.976841e-07	-2.301680e-02
2.486673118098470e-05	3.024479e-07	-2.358185e-02
2.490836517317031e-05	3.064082e-07	-2.412850e-02
2.494999916535592e-05	3.095651e-07	-2.465674e-02
2.504138332645275e-05	3.133921e-07	-2.574478e-02
2.512736692882408e-05	3.132357e-07	-2.666430e-02
2.522502317882408e-05	3.086916e-07	-2.757243e-02
2.532267942882408e-05	2.996446e-07	-2.832894e-02
2.542033567882408e-05	2.863274e-07	-2.891646e-02
2.551799192882408e-05	2.690562e-07	-2.932257e-02
2.561564817882408e-05	2.482228e-07	-2.953600e-02
2.571330442882408e-05	2.242859e-07	-2.954689e-02
2.581096067882408e-05	1.977599e-07	-2.934710e-02
2.590861692882408e-05	1.692039e-07	-2.893041e-02
2.604289427257408e-05	1.277127e-07	-2.804332e-02
2.612834349132408e-05	1.006171e-07	-2.722740e-02
2.627482786632408e-05	5.427494e-08	-2.539044e-02
2.637248411632408e-05	2.428932e-08	-2.392910e-02
2.647014036632408e-05	-4.315613e-09	-2.226136e-02
2.656779661632408e-05	-3.102849e-08	-2.039780e-02
2.666545286632408e-05	-5.539340e-08	-1.835160e-02
2.676310911632408e-05	-7.701958e-08	-1.613832e-02
2.686076536632408e-05	-9.558942e-08	-1.377940e-02
2.694687126669091e-05	-1.092357e-07	-1.158900e-02
2.704021429916776e-05	-1.210088e-07	-9.116336e-03
2.712546488799482e-05	-1.289580e-07	-6.786897e-03
2.722312113799482e-05	-1.347753e-07	-4.055923e-03
2.727513725999538e-05	-1.364047e-07	-2.579048e-03
2.732715338199594e-05	-1.371567e-07	-1.101641e-03
2.737916950399649e-05	-1.370311e-07	3.762978e-04
2.743118562599706e-05	-1.360281e-07	1.854769e-03
2.748320174799761e-05	-1.341475e-07	3.333771e-03
