Freq.	V(v1)	V(v2)	V(v3)
5.00000000000000e+03	1.37652049619035e+02	-4.21753200047572e+00	-9.61489841109267e+01	2.96992311158774e+01	-6.56837788700586e+03	2.25485411260973e+03
5.05789727129949e+03	1.37650800547638e+02	-4.26651991387084e+00	-9.82545075705904e+01	3.07213379387745e+01	-6.71087278378457e+03	2.33239861850681e+03
5.11646496140377e+03	1.37649521302027e+02	-4.31608027479452e+00	-1.00402904081980e+02	3.17781049391306e+01	-6.85620341769876e+03	2.41256929782245e+03
5.17571083339672e+03	1.37648211129244e+02	-4.36621988729287e+00	-1.02594891856401e+02	3.28706772454853e+01	-7.00441387191569e+03	2.49545271034606e+03
5.23564274025450e+03	1.37646869256670e+02	-4.41694564011270e+00	-1.04831193320525e+02	3.40002360378771e+01	-7.15554827823755e+03	2.58113812914693e+03
5.29626862588645e+03	1.37645494891093e+02	-4.46826450768554e+00	-1.07112534685214e+02	3.51679995818204e+01	-7.30965077473205e+03	2.66971761685795e+03
5.35759652618803e+03	1.37644087218549e+02	-4.52018355136190e+00	-1.09439645531781e+02	3.63752243089470e+01	-7.46676546245078e+03	2.76128610467633e+03
5.41963457010602e+03	1.37642645403373e+02	-4.57270992041979e+00	-1.11813258226092e+02	3.76232058577767e+01	-7.62693636010966e+03	2.85594147237943e+03
5.48239098071593e+03	1.37641168587643e+02	-4.62585085383957e+00	-1.14234107410270e+02	3.89132801900414e+01	-7.79020735221819e+03	2.95378462947171e+03
5.54587407631201e+03	1.37639655890714e+02	-4.67961368073288e+00	-1.16702929362624e+02	4.02468246822924e+01	-7.95662213414444e+03	3.05491959693760e+03
5.61009227150982e+03	1.37638106408323e+02	-4.73400582198076e+00	-1.19220461602129e+02	4.16252593846132e+01	-8.12622417009230e+03	3.15945359994687e+03
5.67505407836158e+03	1.37636519212055e+02	-4.78903479209394e+00	-1.21787441962749e+02	4.30500480579110e+01	-8.29905661714114e+03	3.26749714552140e+03
5.74076810748442e+03	1.37634893348603e+02	-4.84470819907052e+00	-1.24404607959950e+02	4.45226994003818e+01	-8.47516226825154e+03	3.37916411361910e+03
5.80724306920172e+03	1.37633227839144e+02	-4.90103374716183e+00	-1.27072696151046e+02	4.60447683171953e+01	-8.65458348889575e+03	3.49457184937361e+03
5.87448777469765e+03	1.37631521678382e+02	-4.95801923731275e+00	-1.29792441295079e+02	4.76178571362296e+01	-8.83736214563233e+03	3.61384125369560e+03
5.94251113718510e+03	1.37629773833744e+02	-5.01567256925140e+00	-1.32564575471773e+02	4.92436168514260e+01	-9.02353953179949e+03	3.73709687624748e+03
6.01132217308707e+03	1.37627983244992e+02	-5.07400174202347e+00	-1.35389827132886e+02	5.09237483724396e+01	-9.21315628296816e+03	3.86446700654898e+03
6.08093000323185e+03	1.37626148822993e+02	-5.13301485594676e+00	-1.38268920440885e+02	5.26600039872364e+01	-9.40625231303058e+03	3.99608378142928e+03
6.15134385406191e+03	1.37624269449013e+02	-5.19272011373249e+00	-1.41202573905337e+02	5.44541884903050e+01	-9.60286670320047e+03	4.13208326852082e+03
6.22257305885693e+03	1.37622343973669e+02	-5.25312582237759e+00	-1.44191499490072e+02	5.63081606233551e+01	-9.80303762038462e+03	4.27260557162098e+03
6.29462705897084e+03	1.37620371216454e+02	-5.31424039455828e+00	-1.47236401623945e+02	5.82238345140111e+01	-1.00068022280908e+04	4.41779493583819e+03
6.36751540508332e+03	1.37618349964334e+02	-5.37607234891397e+00	-1.50337975764181e+02	6.02031809228900e+01	-1.02141965719178e+04	4.56779984103533e+03
6.44124775846568e+03	1.37616278970935e+02	-5.43863031368120e+00	-1.53496907430326e+02	6.22482288116200e+01	-1.04252554859884e+04	4.72277311435871e+03
6.51583389226151e+03	1.37614156955798e+02	-5.50192302631349e+00	-1.56713870563122e+02	6.43610665784951e+01	-1.06400124577322e+04	4.88287201999814e+03
6.59128369278205e+03	1.37611982602711e+02	-5.56595933644678e+00	-1.59989526522494e+02	6.65438437311142e+01	-1.08584995410137e+04	5.04825838418821e+03
6.66760716081663e+03	1.37609754559522e+02	-5.63074820644360e+00	-1.63324522385741e+02	6.87987721939807e+01	-1.10807472048757e+04	5.21909868526682e+03
6.74481441295828e+03	1.37607471436344e+02	-5.69629871355960e+00	-1.66719489370321e+02	7.11281277650644e+01	-1.13067842112552e+04	5.39556416498529e+03
6.82291568294463e+03	1.37605131804598e+02	-5.76262005145863e+00	-1.70175041428909e+02	7.35342517261887e+01	-1.15366374836592e+04	5.57783094130130e+03
6.90192132301444e+03	1.37602734195981e+02	-5.82972153170698e+00	-1.73691773387980e+02	7.60195522422652e+01	-1.17703319523035e+04	5.76608010944219e+03
6.98184180527970e+03	1.37600277101043e+02	-5.89761258613556e+00	-1.77270259323760e+02	7.85865059829982e+01	-1.20078904215870e+04	5.96049786299096e+03
7.06268772311379e+03	1.37597758968142e+02	-5.96630276754305e+00	-1.80911050600776e+02	8.12376595713225e+01	-1.22493333946393e+04	6.16127559223915e+03
7.14446979255553e+03	1.37595178201939e+02	-6.03580175207927e+00	-1.84614673772729e+02	8.39756310351811e+01	-1.24946789035502e+04	6.36860999054132e+03
7.22719885372965e+03	1.37592533162378e+02	-6.10611934072901e+00	-1.88381628849574e+02	8.68031115451961e+01	-1.27439423608371e+04	6.58270318071225e+03
7.31088587228361e+03	1.37589822162771e+02	-6.17726546174677e+00	-1.92212386863562e+02	8.97228667740016e+01	-1.29971363530605e+04	6.80376280802127e+03
